chineseName,spriteName
Warrior22Copy,herocard_skill_1017
Warrior23,herocard_skill_1017
Warrior24,herocard_skill_1017
Warrior24d,herocard_skill_1017
Warrior31,herocard_skill_1003
Warrior31Copy,herocard_skill_1003
Warrior32,herocard_skill_1003
Warrior33,herocard_skill_1003
Warrior33d,herocard_skill_1003
Warrior35,herocard_skill_1004
Warrior37,herocard_skill_1021
Warrior38,herocard_skill_1005
Warrior41aSplite,herocard_skill_1020
Warrior41bSplite,herocard_skill_1020
Warrior41cSplite,herocard_skill_1020
Warrior41dSplite,herocard_skill_1020
Warrior42,card_skill_1053
Warrior44,herocard_skill_1019
Warrior44b,herocard_skill_1019
Warrior44c,herocard_skill_1019
Warrior44d,herocard_skill_1019
Warrior45,herocard_skill_1006
Warrior46,herocard_skill_1025
Warrior200,herocard_skill_1007
Warrior201,herocard_skill_1007
Warrior202,herocard_skill_1007
Warrior202d,herocard_skill_1007
Warrior203,herocard_skill_1008
Warrior203Copy,herocard_skill_1008
Warrior204,herocard_skill_1008
Warrior205,herocard_skill_1008
Warrior205d,herocard_skill_1008
Warrior206,herocard_skill_1009
Warrior207,herocard_skill_1009
Warrior208,herocard_skill_1009
Warrior208d,herocard_skill_1009
Warrior210,herocard_equip_1007
Warrior211,herocard_skill_1002
Warrior212,herocard_skill_1002
Warrior212d,herocard_skill_1002
Warrior213,herocard_skill_1004
Warrior214,herocard_skill_1004
Warrior214d,herocard_skill_1004
Warrior215,herocard_skill_1021
Warrior216,herocard_skill_1021
Warrior216d,herocard_skill_1021
Warrior217,herocard_skill_1005
Warrior218,herocard_skill_1005
Warrior219,card_skill_1053
Warrior220,card_skill_1053
Warrior220d,card_skill_1053
Warrior221,herocard_skill_1006
Warrior222,herocard_skill_1006
Warrior222d,herocard_skill_1006
Warrior16,card_skill_1005
Warrior17,card_skill_1005
Warrior18,card_skill_1005
Warrior18d,card_skill_1005
Warrior223,card_skill_1014
Warrior224,card_skill_1014
Warrior225,card_skill_1014
Warrior225d,card_skill_1014
Warrior226,card_skill_1019
Warrior227,card_skill_1019
Warrior228,card_skill_1019
Warrior228d,card_skill_1019
Warrior229,card_skill_1020
Warrior230,card_skill_1020
Warrior231,card_skill_1020
Warrior231d,card_skill_1020
Warrior232,herocard_skill_1018
Warrior233,herocard_skill_1018
Warrior234,herocard_skill_1018
Warrior234d,herocard_skill_1018
Warrior235,card_skill_1015
Warrior236,card_skill_1015
Warrior237,card_skill_1015
Warrior237d,card_skill_1015
Warrior29,herocard_skill_1002
Warrior238,herocard_skill_1025
Warrior239,herocard_skill_1025
Warrior239d,herocard_skill_1025
ArtifactEquip02,herocard_skill_1033
ArtifactEquip05,herocard_skill_1022
ArtifactEquip10,herocard_skill_1011
ArtifactEquip20,herocard_skill_1023
ArtifactEquip14,herocard_skill_1016
ArtifactEquip33,herocard_skill_1028
ArtifactEquip17,herocard_skill_1001
Loot02,herocard_skill_1013
Loot34,herocard_skill_1014
Loot01,card_skill_1061
Loot03,card_skill_1062
Loot03Copy,card_skill_1062
Loot41,card_skill_1060
Loot41Copy,card_skill_1060
,
ArtifactEquip07,herocard_skill_1024
ArtifactEquip12,herocard_equip_1013
ArtifactEquip27,herocard_skill_1030
ArtifactEquip11,herocard_skill_1031
ArtifactEquip15,herocard_skill_1032
ArtifactEquip26,herocard_skill_1029
Treasure09,herocard_skill_1010
Warrior01,img_fight_1009
Mage01,img_fight_1067
GoblinScout,card_monster_1001
GoblinShieldbreaker,card_retinue_1001
ArmourUp2,card_skill_1013
JavelinEnemy,herocard_skill_1017
,
GoblinWarrior,card_monster_1002
GoblinRabble,card_retinue_1003
AmpUp,card_skill_1004
,
LizardBowmaster,card_monster_1003
ChainLightning,card_skill_1063
LizardBerserker,card_retinue_1013
firePotionEnemy,card_skill_1060
,
LizardShieldmaster,card_monster_1004
LizardBowman,card_retinue_1002
BoulderToss,card_skill_1012
GoblinShieldbreaker,card_retinue_1001
,
GoblinChirurgeon,card_monster_1005
GetBetter,card_skill_1002
GoblinBlade,card_retinue_1004
GoblinChirurgeonMinion,card_monster_1005
,
GoblinBerserker,card_monster_1006
Berserk,card_skill_1003
GoblinBlade,card_retinue_1004
,
OrcLieutenant,card_monster_1007
OrcShaman,card_retinue_1006
ReadyStance,card_skill_1005
CoilOfPain,card_skill_1036
,
GoblinSlinger,card_monster_1008
OrcCharger,card_retinue_1015
DaggerThrow,card_skill_1001
,
LizardHuntress,card_monster_1009
GoblinRatTotem,card_retinue_1007
AmpUp,card_skill_1004
,
OrcVanguard,card_monster_1010
ReadyStance,card_skill_1005
OrcishWarhound,card_retinue_1009
OrcSlinger,card_retinue_1016
,
OgreCook,card_elite_1001
OgrePot,card_retinue_1010
IntoThePot,card_skill_1006
FoodFight,card_skill_1007
Gloop,card_retinue_1011
LizardHuntressMinion,card_monster_1009
,
GoblinChief,card_monster_1011
GoblinRabble,card_retinue_1003
DaggerThrow,card_skill_1001
,
LizardSniper,card_monster_1012
MightyLeap,card_skill_1008
LizardlingEgg,card_retinue_1012
LizardWarrior,card_retinue_1008
,
OrcScout,card_monster_1013
OrcSlinger,card_retinue_1016
ClearTheWayEnemy,herocard_skill_1004
OrcCharger,card_retinue_1015
,
LizardMage,card_monster_1014
ChainLightning,card_skill_1063
DaggerThrow,card_skill_1001
NightmareArrow,card_skill_1009
LightningStrike,herocard_skill_2003
,
OrcChieftan,card_monster_1015
WarTotem,card_retinue_1014
MightyLeap,card_skill_1008
,
OgreChampion,card_elite_1002
GroundSlam,card_skill_1011
GroundStomp,card_skill_1010
ArmourUp,card_skill_1013
,
OgreGuardian,card_boss_1001
OgreGuardianMage,card_boss_1001
EscapedShade,card_retinue_1017
BoulderToss,card_skill_1012
ArmourUp,card_skill_1013
Rampage,card_skill_1014
Monster Slam,card_skill_1015
HealingPotionEnemy,herocard_skill_1013
,
OrcTreasureGuard,card_monster_1033
OrcCharger,card_retinue_1015
Curse,card_skill_1018
,
ArmourFiend,card_monster_1016
ArmourFiendMage,card_monster_1016
AshLegionSoldier,card_retinue_1019
ThousandBlades,card_skill_1016
,
Undead Adventurer,card_monster_1017
UndeadAdventurerMage,card_monster_1017
ClearTheRoom,card_skill_1017
Curse,card_skill_1018
SpearSpell,card_skill_1019
WeaponThrowEnemy,herocard_skill_1008
SwordSpell,card_skill_1020
UndeadSpear,card_skill_1019
UndeadSpear2,card_skill_1019
UndeadSpear3,card_skill_1019
UndeadSpear4,card_skill_1019
UndeadSpear5,card_skill_1019
UndeadSword,card_skill_1020
UndeadSword2,card_skill_1020
UndeadSword3,card_skill_1020
UndeadSword4,card_skill_1020
UndeadSword5,card_skill_1020
,
ManthriPsychic,card_monster_1018
ManthriPsychicMage,card_monster_1018
ImplantThought,card_skill_1021
SelfHatred,card_skill_1022
SelfHatredToxic,card_skill_2023
YoureMine,card_skill_1059
,
ManthriAmalgam,card_monster_1019
ManthriAmalgamMage,card_monster_1019
DevourTheWeak,card_skill_1024
ManthriShriek,card_retinue_1035
,
LegionReaver1,card_monster_1020
LegionReaver1Mage,card_monster_1020
StormOfSteel,card_skill_1027
AshLegionBowman,card_retinue_1018
,
ShamblingHulk,card_monster_1021
ShamblingHulkMage,card_monster_1021
SpikedTentacle,card_retinue_1023
GroundStomp,card_skill_1010
WhippingTentacle,card_retinue_1045
,
HellfireTorturer,card_monster_1022
HellfireTorturerMage,card_monster_1022
AshLegionSpearman,card_retinue_1024
StormOfSteel,card_skill_1027
AmpUp,card_skill_1004
,
BerserkerArmour,card_monster_1023
BerserkerArmourMage,card_monster_1023
Candlelight,card_skill_1056
CuttingHands,card_skill_1028
CostOfHealing,card_skill_1054
GorgonGaze,card_skill_1029
GraspingMonstrosity,card_retinue_1022
ManthriGrub,card_retinue_1020
,
Gorgon,card_elite_1003
RegenGrowth,card_skill_1031
MentalLure,card_skill_1025
HookEmenemy,card_skill_1032
GoblinShieldbreaker,card_retinue_1001
LizardShieldbearer,card_retinue_1005
,
ManthriCouncillor,card_elite_1004
ManthriCouncillorMage,card_elite_1004
ManthriCouncillorMinion,card_elite_1004
PsychicSacrifice,card_skill_1031
RegenGrowth,card_skill_1030
HookEmenemy2,card_skill_1055
,
ManthriKing,card_boss_1002
AshLegionSpearman,card_retinue_1024
ControlledGestalt,card_retinue_1026
Domination,card_skill_1057
HellfireTorturerMinion,card_monster_1022
,
DustRemnant,card_monster_1024
DustRemnantMage,card_monster_1024
ClockworkGuardian,card_retinue_1027
ClockworkDefender,card_retinue_1028
HighPressure,card_skill_1049
SpinAttack,card_skill_1041
,
LiquidSteel,card_monster_1025
LiquidSteelMage,card_monster_1025
SteelEdge,card_skill_1034
BreatheFire,card_skill_1047
CursedImp,card_retinue_1030
ManthriShriek,card_retinue_1035
,
RustingGolem,card_monster_1026
RustingGolemMage,card_monster_1026
ClockworkSniper,card_retinue_1031
ClockworkBomb,card_retinue_1032
MightOfTheClan,card_skill_1048
Endure,card_skill_2024
Firecracker,card_skill_2025
,
MagmaWolf,card_monster_1027
MagmaWolfMage,card_monster_1027
LesserFireElemental,card_retinue_1033
FireSerpent,card_retinue_1034
MeteorStrike,card_skill_1035
ShockwaveClap,card_skill_1033
,
Lavusian,card_monster_1028
LavusianMage,card_monster_1028
ClockworkAssassin,card_retinue_1029
Rampage,card_skill_1014
ClawStrike,card_skill_1051
SolidBlur,card_retinue_1025
,
ChaosElemental,card_monster_1029
ChaosElementalMage,card_monster_1029
LesserChaos,card_retinue_1036
ClockworkAssassin,card_retinue_1029
MightOfTheClan,card_skill_1048
CloakOfLight,card_retinue_1036
ColorfulEnergy,card_skill_2026
,
ForgeSpirit,card_monster_1030
ForgeSpiritMage,card_monster_1030
PrimordialFlames,card_retinue_1037
UnshelledSpirit,card_retinue_1038
FlameRegeneration,card_skill_1043
HellfireRain,card_skill_1026
,
ForgeTender,card_monster_1031
ForgeTenderSmall,card_monster_1031
FireTendril,card_retinue_1039
Reforge,card_skill_1037
GroundSlam,card_skill_1011
ClawsOut,card_skill_1039
FastToxin,card_skill_1038
,
RampagingGolem,card_monster_1032
ReactiveArmour,card_skill_1040
ShockwaveClap,card_skill_1033
FireSerpent,card_retinue_1034
BabyDragonRed,card_retinue_1043
BabyDragonGreen,card_retinue_1044
Domination,card_skill_1057
,
MechanicalGodling,card_elite_1005
MechanicalGodlingMage,card_elite_1005
ManaPylon,card_retinue_1040
Cull,card_skill_1042
FromAether,card_skill_1050
DevourTheWeak,card_skill_1024
,
CoreHydra,card_boss_1003
CoreHydraMage,card_boss_1003
BossHydraHead,card_retinue_1041
BossNeckSection,card_retinue_1041
ScaledDefense,card_skill_1044
Constrict,card_skill_1045
SwallowWhole,card_skill_1046
ChangeWeaponBuddhistbeads,card_retinue_1042
Buddhistbeads,card_retinue_1042
,
Common29,herocard_skill_1018
Common35,img_fight_1009
Common36,herocard_skill_1017
,
MadWarlock,card_monster_2001
MadMaid,card_retinue_2001
Spark,card_skill_2001
MagicS30Enemy,herocard_skill_2012
MagicW07Enemy,herocard_equip_2004
,
IceBeast,card_monster_2002
Icicle,card_retinue_2002
Frost,herocard_skill_2017
Crystallization,card_skill_2002
,
Furnace,card_monster_2003
Meteor,card_skill_2003
MagicS19Enemy,herocard_skill_2018
,
RockGhost,card_monster_2004
HardenedMushroom,card_retinue_2003
Rockfall,card_skill_2004
Rockfall2,card_skill_2004
,
HeroKingsLancer,card_elite_2001
DragoonElite,card_retinue_2004
SpellRush,card_skill_2005
,
ThunderSprite,card_monster_2005
LittleThunderSprite,card_retinue_2005
InstantThunder,card_skill_2006
CatchTheThunder,herocard_skill_2021
MagicS25Enemy,herocard_skill_2016
,
MagicMirror,card_monster_2006
MinionMirrorGuard,card_retinue_2006
SpellMagicMirror,card_skill_2007
,
HeroChaos,card_monster_2007
ElementCreation,card_retinue_2007
SpellDevourEffects,card_skill_2008
,
HeroFrenziedDragonRiderCaptain,card_monster_2008
DragoonGuard,card_retinue_2008
SpellSoar,card_skill_2009
,
Alchemist,card_monster_2009
StrangeCellBody,card_retinue_2009
Irritant,card_skill_2010
StrengthPotionEnemy,card_skill_1061
PotionSpeedEnemy,card_skill_1062
ManaPotionEnemy,herocard_skill_1014
firePotionEnemy,card_skill_1060
,
HeroBatWarlocknew,card_boss_2001
MinionFireBat,card_retinue_2010
MinionIceBat,card_retinue_2011
MinionThunderBat,card_retinue_2012
SpellBatEscape,card_skill_2011
SummonBat,card_skill_2012
,
MutatedIceBeast,card_monster_2010
Mutation,card_skill_2013
WaterShieldEnemy,herocard_skill_2020
,
HeroInfectedChimo,card_monster_2011
MinionRunningChimo,card_retinue_2013
Outbreak,card_skill_2014
SpellPanic,card_skill_2015
,
DollMaker,card_monster_2012
MinionCursedDollX,card_retinue_2016
MinionCursedDollY,card_retinue_2016
MinionCursedDollZ,card_retinue_2016
,
CovetousDragon,card_monster_2013
MinionDragonTreasure,card_retinue_2014
SpellSpitFire,card_skill_2017
SpellBigBlaze,card_skill_2018
SpellVigilance,card_skill_2022
MinionDoor,card_retinue_2017
,
HeroSleepingDemon,card_monster_2014
HeroLavaDemon,card_monster_2014
MinionHellFurnace,card_retinue_2015
SpellWeirdHeatwave,card_skill_2019
SpellHellFire,card_skill_2020
,
DeathCurse,card_skill_2016
,
Magic001a,herocard_retinue_2001
Magic001b,herocard_retinue_2001
Magic001c,herocard_retinue_2001
Magic001d,herocard_retinue_2001
Magic002a,herocard_retinue_2012
Magic002b,herocard_retinue_2012
Magic002c,herocard_retinue_2012
Magic002d,herocard_retinue_2012
Magic003a,herocard_retinue_2002
Magic003b,herocard_retinue_2002
Magic003c,herocard_retinue_2002
Magic003d,herocard_retinue_2002
Magic005a,herocard_retinue_2005
Magic005b,herocard_retinue_2005
Magic005c,herocard_retinue_2005
Magic005d,herocard_retinue_2005
Magic006a,herocard_retinue_2006
Magic006b,herocard_retinue_2006
Magic006c,herocard_retinue_2006
Magic006d,herocard_retinue_2006
Magic007a,herocard_retinue_2007
Magic007b,herocard_retinue_2007
Magic007c,herocard_retinue_2007
Magic007d,herocard_retinue_2007
Magic008a,herocard_retinue_2008
Magic008b,herocard_retinue_2008
Magic008c,herocard_retinue_2008
Magic008d,herocard_retinue_2008
Magic009a,herocard_retinue_2016
Magic009b,herocard_retinue_2016
Magic009c,herocard_retinue_2016
Magic009d,herocard_retinue_2016
Magic010a,herocard_retinue_2010
Magic010b,herocard_retinue_2010
Magic010c,herocard_retinue_2010
Magic010d,herocard_retinue_2010
Magic011a,herocard_retinue_2011
Magic011b,herocard_retinue_2011
Magic011c,herocard_retinue_2011
Magic011d,herocard_retinue_2011
Magic013a,herocard_retinue_2004
Magic013b,herocard_retinue_2004
Magic013c,herocard_retinue_2004
Magic013d,herocard_retinue_2004
Magic013e,herocard_retinue_2004
Magic014a,card_monster_2005
Magic014b,card_monster_2005
Magic014c,card_monster_2005
Magic014d,card_monster_2005
Magic015a,herocard_retinue_2009
Magic015b,herocard_retinue_2009
Magic015c,herocard_retinue_2009
Magic015d,herocard_retinue_2009
Magic016a,herocard_retinue_2015
Magic016b,herocard_retinue_2015
Magic016c,herocard_retinue_2015
Magic016d,herocard_retinue_2015
Magic017a,herocard_retinue_2017
Magic017b,herocard_retinue_2017
Magic017c,herocard_retinue_2017
Magic017d,herocard_retinue_2017
Magic018a,herocard_retinue_2018
Magic018b,herocard_retinue_2018
Magic018c,herocard_retinue_2018
Magic018d,herocard_retinue_2018
Magic019a,herocard_retinue_2019
Magic019b,herocard_retinue_2019
Magic019c,herocard_retinue_2019
Magic019d,herocard_retinue_2019
Magic020a,herocard_retinue_2003
Magic020b,herocard_retinue_2003
Magic020c,herocard_retinue_2003
Magic020d,herocard_retinue_2003
Magic021a,herocard_retinue_2021
Magic021b,herocard_retinue_2021
Magic021c,herocard_retinue_2021
Magic021d,herocard_retinue_2021
Magic024a,herocard_retinue_2013
Magic024b,herocard_retinue_2013
Magic024c,herocard_retinue_2013
Magic024d,herocard_retinue_2013
Magic025a,herocard_retinue_2022
Magic025b,herocard_retinue_2022
Magic025c,herocard_retinue_2022
Magic025d,herocard_retinue_2022
Magic026a,herocard_retinue_2023
Magic026b,herocard_retinue_2023
Magic026c,herocard_retinue_2023
Magic026d,herocard_retinue_2023
Magic027a,card_retinue_1040
Magic027b,card_retinue_1040
Magic027c,card_retinue_1040
Magic027d,card_retinue_1040
Magic028a,herocard_retinue_2014
Magic028b,herocard_retinue_2014
Magic028c,herocard_retinue_2014
Magic028d,herocard_retinue_2014
Magic029a,herocard_retinue_2028
Magic029b,herocard_retinue_2028
Magic029c,herocard_retinue_2028
Magic029d,herocard_retinue_2028
MagicW01a,herocard_equip_2005
MagicW01b,herocard_equip_2005
MagicW01c,herocard_equip_2005
MagicW01d,herocard_equip_2005
MagicW02a,herocard_equip_2006
MagicW02b,herocard_equip_2006
MagicW02c,herocard_equip_2006
MagicW02d,herocard_equip_2006
MagicW03a,herocard_equip_2007
MagicW03b,herocard_equip_2007
MagicW03c,herocard_equip_2007
MagicW03d,herocard_equip_2007
MagicW04a,herocard_equip_2001
MagicW04b,herocard_equip_2001
MagicW04c,herocard_equip_2001
MagicW04d,herocard_equip_2001
MagicW05a,herocard_equip_2002
MagicW05b,herocard_equip_2002
MagicW05c,herocard_equip_2002
MagicW05d,herocard_equip_2002
MagicW06a,herocard_equip_2003
MagicW06b,herocard_equip_2003
MagicW06c,herocard_equip_2003
MagicW06d,herocard_equip_2003
MagicW07a,herocard_equip_2004
MagicW07b,herocard_equip_2004
MagicW07c,herocard_equip_2004
MagicW07d,herocard_equip_2004
MagicW08a,herocard_skill_2034
MagicW08b,herocard_skill_2034
MagicW08c,herocard_skill_2034
MagicS01a,herocard_skill_2033
MagicS01aCopy,herocard_skill_2033
MagicS01b,herocard_skill_2033
MagicS01c,herocard_skill_2033
MagicS02a,card_skill_2021
MagicS02aCopy,card_skill_2021
MagicS02b,card_skill_2021
MagicS02c,card_skill_2021
MagicS02d,card_skill_2021
MagicS03a,herocard_skill_2034
MagicS03b,herocard_skill_2034
MagicS03c,herocard_skill_2034
MagicS03d,herocard_skill_2034
MagicS04a,card_skill_1009
MagicS04b,card_skill_1009
MagicS04c,card_skill_1009
MagicS04d,card_skill_1009
MagicS05a,herocard_skill_2001
MagicS05b,herocard_skill_2001
MagicS05c,herocard_skill_2001
MagicS05d,herocard_skill_2001
MagicS06a,herocard_skill_2032
MagicS06b,herocard_skill_2032
MagicS06c,herocard_skill_2032
MagicS06d,herocard_skill_2032
MagicS07a,herocard_skill_2003
MagicS07b,herocard_skill_2003
MagicS07c,herocard_skill_2003
MagicS07d,herocard_skill_2003
MagicS08a,herocard_skill_2006
MagicS08b,herocard_skill_2006
MagicS08c,herocard_skill_2006
MagicS08d,herocard_skill_2006
MagicS08dCopy,herocard_skill_2006
MagicS09a,herocard_skill_2005
MagicS09b,herocard_skill_2005
MagicS09c,herocard_skill_2005
MagicS09d,herocard_skill_2005
MagicS10a,herocard_skill_2010
MagicS10b,herocard_skill_2010
MagicS10c,herocard_skill_2010
MagicS10d,herocard_skill_2010
MagicS11a,herocard_skill_2007
MagicS11b,herocard_skill_2007
MagicS11c,herocard_skill_2007
MagicS11d,herocard_skill_2007
MagicS12a,herocard_skill_2008
MagicS12b,herocard_skill_2008
MagicS12c,herocard_skill_2008
MagicS12d,herocard_skill_2008
MagicS13a,herocard_skill_2011
MagicS13b,herocard_skill_2011
MagicS13c,herocard_skill_2011
MagicS13d,herocard_skill_2011
MagicS14a,herocard_skill_2013
MagicS14b,herocard_skill_2013
MagicS14c,herocard_skill_2013
MagicS14d,herocard_skill_2013
MagicS14dCopy,herocard_skill_2013
MagicS15a,herocard_skill_2014
MagicS15b,herocard_skill_2014
MagicS15c,herocard_skill_2014
MagicS15d,herocard_skill_2014
MagicS16a,herocard_skill_2015
MagicS16b,herocard_skill_2015
MagicS16c,herocard_skill_2015
MagicS16d,herocard_skill_2015
MagicS17a,herocard_skill_2031
MagicS17b,herocard_skill_2031
MagicS17c,herocard_skill_2031
MagicS17d,herocard_skill_2031
MagicS18a,herocard_skill_2017
MagicS18b,herocard_skill_2017
MagicS18c,herocard_skill_2017
MagicS18d,herocard_skill_2017
MagicS19a,herocard_skill_2018
MagicS19b,herocard_skill_2018
MagicS19c,herocard_skill_2018
MagicS19d,herocard_skill_2018
MagicS20a,herocard_skill_2019
MagicS20aWater,herocard_skill_2027
MagicS20aFire,herocard_skill_2028
MagicS20aThunder,herocard_skill_2029
MagicS22a,herocard_skill_2021
MagicS22b,herocard_skill_2021
MagicS22c,herocard_skill_2021
MagicS22d,herocard_skill_2021
MagicS23a,herocard_skill_2020
MagicS23b,herocard_skill_2020
MagicS23c,herocard_skill_2020
MagicS23d,herocard_skill_2020
MagicS24a,herocard_skill_2030
MagicS24b,herocard_skill_2030
MagicS24c,herocard_skill_2030
MagicS24d,herocard_skill_2030
MagicS25a,herocard_skill_2016
MagicS25b,herocard_skill_2016
MagicS25c,herocard_skill_2016
MagicS25d,herocard_skill_2016
ArtifactEquip34,herocard_skill_2049
ArtifactEquip35,herocard_skill_2023
ArtifactEquip36,herocard_skill_2024
ArtifactEquip37,herocard_skill_2025
ArtifactEquip38,herocard_skill_2035
ArtifactEquip39,herocard_skill_2036
ArtifactEquip40,herocard_skill_2037
ArtifactEquip41,herocard_skill_2038
ArtifactEquip42,herocard_skill_2039
ArtifactEquip07,herocard_skill_1024
Loot42,herocard_skill_2026
Loot42Enemy,herocard_skill_2026
Loot43,card_skill_2010
Loot44,herocard_skill_2051
Loot45,herocard_skill_2052
Loot46,herocard_skill_2053
Loot47,herocard_skill_2054
MagicS29,herocard_skill_2046
MagicS14d,herocard_skill_2013
