Key,Type,Desc,English,Chinese,ChineseTraditional,German,Portuguese,Russian,Italian,Spanish,Polish,Japanese,Korean,Vietnamese,French
Achievement02CardName,Text,,Overture of Sword and Fire - I,剑与炎的序曲·一,劍與炎的序曲·一,,,,,,,剣と炎の序曲・一,,,
Achievement03CardDescription,Text,,Defeat the boss in 2F using the Warrior - Arthur deck,使用战士·亚瑟的卡组击败第二层的首领,使用戰士·亞瑟的卡組擊敗第二層的首領,,,,,,,戦士・アーサーのデッキを使って第二階のボスを倒す,,,
Achievement03CardName,Text,,Overture of Sword and Fire - II,剑与炎的序曲·二,劍與炎的序曲·二,,,,,,,剣と炎の序曲・二,,,
Achievement04CardDescription,Text,,Defeat the boss in 3F using the Warrior - Arthur deck,使用战士·亚瑟的卡组击败第三层的首领,使用戰士·亞瑟的卡組擊敗第三層的首領,,,,,,,戦士・アーサーのデッキを使って第三階のボスを倒す,,,
Achievement04CardName,Text,,Overture of Sword and Fire - III,剑与炎的序曲·三,劍與炎的序曲·三,,,,,,,剣と炎の序曲・三,,,
Achievement11CardDescription,Text,,Defeat the boss in the 1F using the Mage Eliya deck,使用魔导师·艾莉亚的卡组击败第一层的首领,使用魔導師·艾莉亞的卡組擊敗第一層的首領,,,,,,,魔道士・アリアのデッキを使って第一階のボスを倒す,,,
Achievement11CardName,Text,,Overture of Magic and Frost - I,魔法与霜的序曲·一,魔法與霜的序曲·一,,,,,,,魔法と霜の序曲・一,,,
Achievement12CardDescription,Text,,Defeat the boss in the 2F using the Mage Eliya deck,使用魔导师·艾莉亚的卡组击败第二层的首领,使用魔導師·艾莉亞的卡組擊敗第二層的首領,,,,,,,魔道士・アリアのデッキを使って第二階のボスを倒す,,,
Achievement12CardName,Text,,Overture of Magic and Frost - II,魔法与霜的序曲·二,魔法與霜的序曲·二,,,,,,,魔法と霜の序曲・二,,,
Achievement13CardDescription,Text,,Defeat the boss in the 3F using the Mage Eliya deck,使用魔导师·艾莉亚的卡组击败第三层的首领,使用魔導師·艾莉亞的卡組擊敗第三層的首領,,,,,,,魔道士・アリアのデッキを使って第三階のボスを倒す,,,
Achievement13CardName,Text,,Overture of Magic and Frost - III,魔法与霜的序曲·三,魔法與霜的序曲·三,,,,,,,魔法と霜の序曲・三,,,
Achievement15CardDescription,Text,,Deal 12 or more damage to a large enemy with 1 unit.,用一个单位对大型敌人造成12点或以上的伤害。,用一個單位對大型敵人造成12點或以上的傷害。,,,,,,,一体のユニットを使って大型の敵に12ポイント以上のダメージを与える。,,,
Achievement15CardName,Text,,Here Comes the Titan,泰坦来了,泰坦來了,,,,,,,タイタンが来る,,,
Achievement16CardDescription,Text,,Shatter an enemy on your first turn,在你第一回合摧毁一个敌人,在你第一回合摧毀一個敵人,,,,,,,自分の最初のターンで敵を一体破壊する,,,
Achievement16CardName,Text,,I'm in a rush,我在赶时间,我在趕時間,,,,,,,急いでいるので,,,
Achievement17CardDescription,Text,,Shatter 3 enemy units in enemy's turn,在敌人的回合摧毁三个敌方单位。,在敵人的回合摧毀三個敵方單位。,,,,,,,敵のターン中に敵ユニットを三体破壊する。,,,
Achievement17CardName,Text,,It all counts,都在计算之内,都在計算之內,,,,,,,全て計算の内,,,
Achievement18CardDescription,Text,,Defeat the third boss with the deck consisting of no more than 6 cards.,用六张或更少卡牌组成的牌组击败第三位首领。,用六張或更少卡牌組成的牌組擊敗第三位首領。,,,,,,,カードが六枚以下のデッキで三番目のボスを倒す。,,,
Achievement18CardName,Text,,Extreme Cuts,极致裁剪,極致裁剪,,,,,,,節減の極地,,,
Achievement19CardDescription,Text,,Defeat the third boss with the deck consisting of no less than 30 cards.,用30张或更多卡牌组成的牌组击败第三位首领。,用30張或更多卡牌組成的牌組擊敗第三位首領。,,,,,,,カードが30枚以上のデッキで三番目のボスを倒す。,,,
Achievement19CardName,Text,,Time to Lose Weight,该减肥了,該減肥了,,,,,,,ダイエットしなきゃ,,,
Achievement20CardDescription,Text,,Clear within 60 mins,在60分钟内通关,在60分鐘內通關,,,,,,,60分以内にクリアする,,,
Achievement20CardName,Text,,Relax,放松放松,放鬆放鬆,,,,,,,リラックス、リラックス,,,
Achievement21CardDescription,Text,,Move your hero 4 times in 1 turn,在一回合内移动你的英雄4次,在一回合內移動你的英雄4次,,,,,,,1ターンに自分のヒーローを4回移動させる,,,
Achievement21CardName,Text,,The ground is hot,地板很烫,地板很燙,,,,,,,床が暑い,,,
Achievement22CardDescription,Text,,Filling the battlefield with your units except for enemy heroes,除敌方英雄外，用你的单位填满整场,除敵方英雄外，用你的單位填滿整場,,,,,,,敵ヒーローを除き、フィールド全体を自分のユニットで埋める,,,
Achievement22CardName,Text,,We got this place booked today,今天我们包场,今天我們包場,,,,,,,今日は貸し切り,,,
Achievement23CardDescription,Text,,Put the deck on hand,将整个卡组置于手牌,將整個卡組置於手牌,,,,,,,デッキ全体を手札に置く,,,
Achievement23CardName,Text,,Poverty makes me strong,贫穷使我强大,貧窮使我強大,,,,,,,貧困は私を強くしてくれる,,,
Achievement24CardDescription,Text,,Defeat the boss without summoning a follower,不召唤随从击败首领,不召喚隨從擊敗首領,,,,,,,従者を召喚せずにボスを倒す,,,
Achievement24CardName,Text,,I'm on my own,有我就够了,有我就夠了,,,,,,,私だけで十分だ,,,
Achievement25CardDescription,Text,,Own 5 3-star cards in a battle deck,在一场战斗的牌组中拥有5张三星卡牌,在一場戰鬥的牌組中擁有5張三星卡牌,,,,,,,一回の戦闘のデッキに星3カードが5枚存在する,,,
Achievement25CardName,Text,,Investment,投资,投資,,,,,,,投資,,,
Achievement26CardDescription,Text,,Play 10 cards in 1 turn,在一回合打出10张卡牌,在一回合打出10張卡牌,,,,,,,1ターンに10枚のカードをプレイする,,,
Achievement26CardName,Text,,One Man Show,一个人的表演,一個人的表演,,,,,,,ワンマンショー,,,
Achievement27CardDescription,Text,,Shatter 5 followers in 1 turn,在一回合内摧毁5个随从,在一回合內摧毀5個隨從,,,,,,,1ターンに従者を5体破壊する,,,
Achievement27CardName,Text,,Destroyer,毁灭者,毀滅者,,,,,,,デストロイヤー,,,
Achievement28CardDescription,Text,,Survive with only 1 HP and no followers,在只有1点生命值且没有随从的情况下生存,在只有1點生命值且沒有隨從的情況下生存,,,,,,,HPが1しかなく、従者がいない状態で生き残る,,,
Achievement28CardName,Text,,Extreme,极限,極限,,,,,,,ギリギリ,,,
Achievement29CardDescription,Text,,Hero has 10 or more Block.,英雄拥有10点或更多的格挡。,英雄擁有10點或更多的格擋。,,,,,,,ヒーローは10ポイント以上のブロックを持っている。,,,
Achievement29CardName,Text,,Metal Wall,铁墙,鐵牆,,,,,,,鉄の壁,,,
Achievement30CardDescription,Text,,Shatter 4 followers in 1 turn,一回合摧毁4个随从。,一回合摧毀4個隨從。,,,,,,,1ターンに従者を4体破壊する,,,
Achievement30CardName,Text,,Reaper,收割者,收割者,,,,,,,生の収穫者,,,
Achievement31CardDescription,Text,,Clear the game in Nightmare difficulty,在梦魇难度下通关游戏。,在夢魘難度下通關遊戲。,,,,,,,悪夢難易度でゲームをクリアする。,,,
Achievement31CardName,Text,,Nightmare Master,梦魇大师,夢魘大師,,,,,,,悪夢マスター,,,
Achievement32CardDescription,Text,,Clear the 3F without being hit,在不受到伤害的情况下通关第三层。,在不受到傷害的情況下通關第三層。,,,,,,,ダメージを受けないまま第三階をクリアする。,,,
Achievement32CardName,Text,,The true power,真正的力量,真正的力量,,,,,,,真の力,,,
Achievement33CardDescription,Text,,Clear the game within 40 mins,在40分钟或更短的时间内通关游戏。,在40分鐘或更短的時間內通關遊戲。,,,,,,,40分以内にゲームをクリアする。,,,
Achievement33CardName,Text,,Accelerate the pace,加快节奏,加快節奏,,,,,,,ペースアップ,,,
Achievement34CardDescription,Text,,Level up hero to Lv.15 before the final boss,在到达最终首领前将英雄提升至15级,在到達最終首領前將英雄提升至15級,,,,,,,最終ボスに到達する前にヒーローをレベル15にレベルアップする,,,
Achievement34CardName,Text,,Many boars,好多野猪,好多野豬,,,,,,,イノシシが一杯,,,
Achievement35CardDescription,Text,,Increase the hero ATK to 12 or above,使英雄的攻击力达到12或以上。,使英雄的攻擊力達到12或以上。,,,,,,,ヒーローの攻撃力が12以上に到達する。,,,
Achievement35CardName,Text,,Titan force,泰坦之力,泰坦之力,,,,,,,タイタンの力,,,
Achievement36CardDescription,Text,,Shuffle the deck for 3 times in 1 turn,在同一回合洗遍三次卡组。,在同一回合洗遍三次卡組。,,,,,,,同じターンにデッキを3回シャッフルする。,,,
Achievement36CardName,Text,,Magic skill,魔术技法,魔術技法,,,,,,,魔術のテクニック,,,
Achievement37CardDescription,Text,,Heal HP more than 15 for followers in an encounter,在一次遭遇战中所治疗随从的生命值超过15点。,在一次遭遇戰中所治療隨從的生命值超過15點。,,,,,,,一回の遭遇戦で従者のHPを15ポイント以上回復する。,,,
Achievement37CardName,Text,,Quick healing,快速治疗,快速治療,,,,,,,快速回復,,,
Achievement38CardDescription,Text,,Shatter the bound Gestalt,摧毁被束缚的格式塔,摧毀被束縛的格式塔,,,,,,,束縛されたゲシュタルトを破壊する,,,
Achievement38CardName,Text,,Multiple to none,多对无,多對無,,,,,,,多対無,,,
Achievement39CardDescription,Text,,Attack enemy heroes in the first turn with your follower,让你的随从第一回合就攻击敌方英雄,讓你的隨從第一回合就攻擊敵方英雄,,,,,,,最初のターンにあなたの従者に敵ヒーローを攻撃させる,,,
Achievement39CardName,Text,,Onslaught,猛攻,猛攻,,,,,,,猛襲,,,
Achievement40CardDescription,Text,,Defeat 1 boss,击败一个首领,擊敗一個首領,,,,,,,ボスを一体倒す,,,
Achievement40CardName,Text,,Boss terminator,首领终结者,首領終結者,,,,,,,ボス・ターミネーター,,,
Achievement41CardDescription,Text,,Defeat the boss in 3F,击败第三层首领,擊敗第三層首領,,,,,,,第三階のボスを倒す,,,
Achievement41CardName,Text,,Lava flow,熔岩流域,熔岩流域,,,,,,,溶岩エリア,,,
Achievement43CardDescription,Text,,Defeat the boss in 2F,击败第二层的首领,擊敗第二層的首領,,,,,,,第二階のボスを倒す,,,
Achievement43CardName,Text,,Death Desert,死亡荒漠,死亡荒漠,,,,,,,死亡砂漠,,,
AchievementCutScene,Text,,Story,剧情,劇情,,,,,,,ストーリー,,,
Achievements,Text,,Achievement,成就,成就,,,,,,,実績,,,
AchievementsTitle,Text,,AchievementsTitleChinese,AchievementsTitleChinese,AchievementsTitleChinese,,,,,,,AchievementsTitleChinese,,,
Action 1CardDescription,Text,,Summon small Spider x2,召唤小蜘蛛x2,召喚小蜘蛛x2,,,,,,,ミニクモ召喚× 2,,,
Action 1CardName,Text,,,,,,,,,,,,,,
Action 2CardDescription,Text,,Ready stance,准备姿态,準備姿態,,,,,,,準備スタンス,,,
Action 2CardName,Text,,,,,,,,,,,,,,
Action 3CardDescription,Text,,Dagger Throw + Throwing Spear,匕首投掷+投掷长矛,匕首投擲+投擲長矛,,,,,,,ダガーを投げる+槍を投げる,,,
Action 3CardName,Text,,,,,,,,,,,,,,
Action 4CardDescription,Text,,Each x1,每个x1,每個x1,,,,,,,各x1,,,
Action 4CardName,Text,,,,,,,,,,,,,,
Actions,Text,,Actions,行动力,行動力,,,,,,,AP,,,
AdvMapAreaHeading,Text,,Name of dungeon on this floor and the remaining encounters,本层地牢的名称与剩下的遭遇,本層地牢的名稱與剩下的遭遇,,,,,,,この階層のダンジョンの名前と残りの遭遇,,,
AdvMapArtifactsDescription,Text,,(Switch equipped Artifact),（切换已装备的圣器）,（切換已裝備的聖器）,,,,,,,（装備中の聖器を切り替える）,,,
AdvMapArtifactsHeading,Text,,Artifact,圣器,聖器,,,,,,,聖器,,,
AdvMapGoldDescription,Text,,Converted Golds,(宝藏卡和火石在成功逃脱地牢后可转为金币),(寶藏卡和火石在成功逃脫地牢後可轉為金幣),,,,,,,（宝物カードと炎石は、ダンジョンからの脱出に成功すると金貨に変換できる）,,,
AdvMapGoldHeading,Text,,(Can be found in the loot),转换成的金币,轉換成的金幣,,,,,,,変換後の金貨,,,
AdvMapHealingPotionsHeading,Text,,Healing potion,治愈药水,治癒藥水,,,,,,,回復ポーション,,,
AdvMapHeroDescription,Text,,(Tap on the room to move),(点击房间进行移动),(點擊房間進行移動),,,,,,,（ルームをタップして移動する）,,,
AdvMapHeroHeading,Text,,Your Hero,你的英雄,你的英雄,,,,,,,あなたのヒーロー,,,
AdvMapMyDeckDescription,Text,,(This turn),(本局),(本局),,,,,,,（本ラウンド）,,,
AdvMapMyDeckHeading,Text,,My deck,我的卡组,我的卡組,,,,,,,マイデッキ,,,
AdvMapTalentsDescription,Text,,(Unlock after hero upgrade),(英雄升级后解锁),(英雄升級後解鎖),,,,,,,（ヒーローのレベルアップ後に解放される）,,,
AdvMapTalentsHeading,Text,,Talent,天赋,天賦,,,,,,,アビリティ,,,
AdvMapWeaponsDescription,Text,,(Switch equipped weapon),(切换已装备的武器),(切換已裝備的武器),,,,,,,（装備中の武器を切り替える）,,,
AdvMapWeaponsHeading,Text,,Weapon,武器,武器,,,,,,,武器,,,
Adventure Map Prompts,Text,,,,,,,,,,,,,,
AdventurerKeywordDescription,Text,,Upgrade to gain higher attributes,升级后会获得更高的属性,升級後會獲得更高的屬性,,,,,,,レベルアップするとより高い属性を獲得できる,,,
AdventurerKeywordName,Text,,Adventurer,冒险家,冒險家,,,,,,,冒険家,,,
Aftermath Menu,Text,,,,,,,,,,,,,,
AftermathAdventureFailed,Text,,Adventure Failed,冒险失败,冒險失敗,,,,,,,冒険失敗,,,
AftermathAdventureLevel,Text,,Explore level,探险等级,探險等級,,,,,,,探検レベル,,,
AftermathAdventureSucceed,Text,,Adventure Successful,冒险胜利,冒險勝利,,,,,,,冒険勝利,,,
AftermathBackToMainMenu,Text,,Home,主页,主頁,,,,,,,ホームページ,,,
AftermathExperience,Text,,EXP,经验,經驗,,,,,,,経験値,,,
AftermathKilledBoss,Text,,Defeat boss,击败首领,擊敗首領,,,,,,,ボスを倒す,,,
AftermathKilledElites,Text,,Defeat elite,击败精英,擊敗精英,,,,,,,精鋭を倒す,,,
AftermathKilledMonsters,Text,,Defeat minion,击败小怪,擊敗小怪,,,,,,,雑魚を倒す,,,
AftermathLevel,Text,,Lv.{0},{0}级,{0}級,,,,,,,レベル{0},,,
AftermathUnlockCardDesc,Text,,Unlock new card,解锁新卡牌,解鎖新卡牌,,,,,,,新しいカードを解放する,,,
AftermathUnlockCardName,Text,,<color=#F4E5AF>You'll have a chance to get these cards later in the adventure! </color>,<color=#F4E5AF>你以后有机会在冒险中获得这些卡牌了！</color>,<color=#F4E5AF>你以後有機會在冒險中獲得這些卡牌了！</color>,,,,,,,<color=#F4E5AF>これからの冒険でこれらのカードを獲得するチャンスがあります！</color>,,,
AlchemistCardDescription,Text,,"Ranged 2, return 1 HP when our follower is shattered","射程2.
回合结束：获得一张随机药水","射程2.
回合結束：獲得一張隨機藥水",,,,,,,"射程2.
ターンエンド：ランダムなポーションを一枚獲得する",,,
AlchemistCardName,Text,,The obsessed pawnshop owener,着魔的当铺老板,著魔的當鋪老闆,,,,,,,魅入られたの質屋オーナー,,,
AlchemistEncounter10CardDescription,Text,,"This is the warlock from the next village, but he looks particularly strange today.",这是隔壁村的术士，但是今天的他看起来格外的古怪。,這是隔壁村的術士，但是今天的他看起來格外的古怪。,,,,,,,こちらは隣の村の術師だが、今日は特に様子がおかしい。,,,
AlchemistEncounter10CardName,Text,,The obsessed pawnshop owener,着魔的当铺老板,著魔的當鋪老闆,,,,,,,魅入られたの質屋オーナー,,,
All,Text,,All,所有,所有,,,,,,,全て,,,
AllOptionsInLibrary,Text,,All,全部,全部,,,,,,,全部,,,
Allegiance,Text,,Faction,阵营,陣營,,,,,,,陣営,,,
AlphaHatchEffectCardDescription,Text,,"After 2 turns, shatters this unit, and summons a {{LizardAlphaMinion}} in its place",2回合后摧毁此单位，在其位置召唤一个{{LizardAlphaMinion}},2回合後摧毀此單位，在其位置召喚一個{{LizardAlphaMinion}},,,,,,,2ターン後にこのユニットを破壊し、その位置に{{LizardAlphaMinion}}を一体召喚する,,,
AlphaHatchEffectCardName,Text,,Incubation,孵化,孵化,,,,,,,孵化,,,
MagicSwordEffectCardDescription,Text,,"After 4 attacks, summons {{Treasure14}}.",攻击4次以后，召唤{{Treasure14}},攻擊4次以後，召喚{{Treasure14}},,,,,,,4回攻撃後、{{Treasure14}}を召喚する,,,
MagicSwordEffectCardName,Text,,Draw,灵魂汲取,靈魂汲取,,,,,,,魂の吸収,,,
AmpUpCardDescription,Text,,Obtains ATK 1,获得1点攻击力,獲得1點攻擊力,,,,,,,攻撃力を1ポイント獲得する,,,
AmpUpCardName,Text,,Enhance,强化,強化,,,,,,,強化,,,
AncientEncounter1CardDescription,Text,,"A giant dragon roars, jumping clumsily but quickly between the several volcanic blocks surrounding you.",一只巨大的龙嘶吼着，在环绕于你们周围的几个火山石地块之间笨拙却又快速的跳跃,一隻巨大的龍嘶吼著，在環繞于你們周圍的幾個火山石地塊之間笨拙卻又快速的跳躍,,,,,,,巨大なドラゴンがうなり声を上げ、周囲のいくつかの火山岩の間をぎこちないながらも素早くジャンプしている,,,
AncientEncounter1CardName,Text,,Earth Dragon,走地龙,走地龍,,,,,,,アース・ドラゴン,,,
AncientEncounter1MageCardDescription,Text,,"A giant dragon roars, jumping clumsily but quickly between the several volcanic blocks surrounding you.",一只巨大的龙嘶吼着，在环绕于你们周围的几个火山石地块之间笨拙却又快速的跳跃,一隻巨大的龍嘶吼著，在環繞于你們周圍的幾個火山石地塊之間笨拙卻又快速的跳躍,,,,,,,巨大なドラゴンがうなり声を上げ、周囲のいくつかの火山岩の間をぎこちないながらも素早くジャンプしている,,,
AncientEncounter1MageCardName,Text,,Earth Dragon,走地龙,走地龍,,,,,,,アース・ドラゴン,,,
AncientEncounter2CardDescription,Text,,"You arrive at a grove abundant with fire fruit trees, where the owner consistently expels anyone attempting to steal the fruit, including you.",你来到了一个长满了火果树的灌木丛中，这里的主人正不停驱赶着想要偷吃果子的人，当然也包括你,你來到了一個長滿了火果樹的灌木叢中，這裡的主人正不停驅趕著想要偷吃果子的人，當然也包括你,,,,,,,あなたはパイロフルーツの木が生い茂る茂みにやって来た。そこのオーナーは果実を盗もうとする人を常に追い払っている、あなたももちろん例外ではない,,,
AncientEncounter2CardName,Text,,Pyrofruit Dragon,火果龙,火果龍,,,,,,,パイロフルーツ・ドラゴン,,,
AncientEncounter2MageCardDescription,Text,,"You arrive at a grove abundant with fire fruit trees, where the owner consistently expels anyone attempting to steal the fruit, including you.",你来到了一个长满了火果树的灌木丛中，这里的主人正不停驱赶着想要偷吃果子的人，当然也包括你,你來到了一個長滿了火果樹的灌木叢中，這裡的主人正不停驅趕著想要偷吃果子的人，當然也包括你,,,,,,,あなたはパイロフルーツの木が生い茂る茂みにやって来た。そこのオーナーは果実を盗もうとする人を常に追い払っている、あなたももちろん例外ではない,,,
AncientEncounter2MageCardName,Text,,Pyrofruit Dragon,火果龙,火果龍,,,,,,,パイロフルーツ・ドラゴン,,,
AncientEncounter3CardDescription,Text,,"It appears to welcome you, but every time you attempt to move forward, it will always get in your way again.",它看起来很欢迎你，不过只要你想要继续前进时，它总会再次挡到你面前,它看起來很歡迎你，不過只要你想要繼續前進時，它總會再次擋到你面前,,,,,,,そいつはあなたを歓迎しているように見えるが、あなたが先に進みたい時はいつもあなたの前に立ち塞がる,,,
AncientEncounter3CardName,Text,,Nian,年兽,年獸,,,,,,,年獣,,,
AncientEncounter3MageCardDescription,Text,,"It appears to welcome you, but every time you attempt to move forward, it will always get in your way again.",它看起来很欢迎你，不过只要你想要继续前进时，它总会再次挡到你面前,它看起來很歡迎你，不過只要你想要繼續前進時，它總會再次擋到你面前,,,,,,,そいつはあなたを歓迎しているように見えるが、あなたが先に進みたい時はいつもあなたの前に立ち塞がる,,,
AncientEncounter3MageCardName,Text,,Nian,年兽,年獸,,,,,,,年獣,,,
AncientEncounter4CardDescription,Text,,"You are attracted by a huge flower, and as you are about to pluck it, the ground beneath you begins to tremble violently, causing volcanic rock to erupt from below.",你被一株巨大的花朵所吸引，当你准备摘下它时，地面突然开始剧烈晃动，你脚下的火山石也开始露出它的本貌,你被一株巨大的花朵所吸引，當你準備摘下它時，地面突然開始劇烈晃動，你腳下的火山石也開始露出它的本貌,,,,,,,あなたは巨大な花に惹かれ、それを摘もうとしたとき、突然地面が激しく揺れ始め、あなたの下にある火山岩がその真の姿を現し始めた,,,
AncientEncounter4CardName,Text,,Venusaur Dragon,妙蛙花龙,妙蛙花龍,,,,,,,フシギバナ・ドラゴン,,,
AncientEncounter5CardDescription,Text,,"As you walked by a Kangaroo Dragon's nest, you accidentally woke up the sleeping dragon, and it roared angrily while tightening the rope that holding its baby.",你们路过了一个袋龙的巢穴，弄醒了在这里沉睡的主人，它生气的狂吼，并拉紧着拴着它孩子的绳子,你們路過了一個袋龍的巢穴，弄醒了在這裡沉睡的主人，它生氣的狂吼，並拉緊著拴著它孩子的繩子,,,,,,,あなた達はカンガルー・ドラゴンの隠れ家を通り過ぎ、うっかり眠っているオーナーを起こしてしまった。カンガルー・ドラゴンは子供をつないだロープを引っ張りながら、 怒りに咆哮した,,,
AncientEncounter5CardName,Text,,Kangaroo Dragon,袋龙,袋龍,,,,,,,カンガルー・ドラゴン,,,
AncientEncounter6CardDescription,Text,,"Lavatsky is chanting weird sorcery, and his body seems to have become a vessel to receive a powerful soul.",拉瓦茨基正在吟唱着一种诡异的巫术，他的身体似乎变成了一个载体，接收着一个强大的灵魂,拉瓦茨基正在吟唱著一種詭異的巫術，他的身體似乎變成了一個載體，接收著一個強大的靈魂,,,,,,,ラヴァツキーは奇妙なソーサリーを詠唱している、彼の体は強大な魂を受け入れる器になっているようだ,,,
AncientEncounter6CardName,Text,,Mrs. Lavatsky,拉瓦茨基夫人,拉瓦茨基夫人,,,,,,,ラヴァツキー夫人,,,
AncientEncounter6MageCardDescription,Text,,"Lavatsky is chanting weird sorcery, and his body seems to have become a vessel to receive a powerful soul.",拉瓦茨基正在吟唱着一种诡异的巫术，他的身体似乎变成了一个载体，接收着一个强大的灵魂,拉瓦茨基正在吟唱著一種詭異的巫術，他的身體似乎變成了一個載體，接收著一個強大的靈魂,,,,,,,ラヴァツキーは奇妙なソーサリーを詠唱している、彼の体は強大な魂を受け入れる器になっているようだ,,,
AncientEncounter6MageCardName,Text,,Mrs. Lavatsky,拉瓦茨基夫人,拉瓦茨基夫人,,,,,,,ラヴァツキー夫人,,,
AncientShadeCardDescription,Text,,Swap. Combo 1,换位。连击1,換位。連擊1,,,,,,,位置交換。連撃1,,,
AncientShadeCardName,Text,,Ancient Shadows,远古之影,遠古之影,,,,,,,太古の影,,,
AncientWarriorCardDescription,Text,,"Guardian, attack inflicts Burn 1",守卫，攻击附带灼烧1,守衛，攻擊附帶灼燒1,,,,,,,守衛、攻撃は燃焼1を付与,,,
AncientWarriorCardName,Text,,Ancient Warrior,远古战士,遠古戰士,,,,,,,太古の戦士,,,
ArcaneLockPrompt,Text,,Choose up to XX cards to keep in hand,"选择最多XX张卡留在手牌
","選擇最多XX張卡留在手牌
",,,,,,,"最大XX枚のカードを選んで手札に残す
",,,
ArcingKeywordDescription,Text,,"Attack range increased to X, Can not attack adjacent units",攻击距离扩大至X格，不可攻击相邻单位,攻擊距離擴大至X格，不可攻擊相鄰單位,,,,,,,攻撃距離がXに拡大され、隣接するユニットを攻撃不可,,,
ArcingKeywordName,Text,,Arcing,箭术射程,箭術射程,,,,,,,射術射程,,,
Area 1a Green - The Den,Text,,Area 1a Green - Den,区域1a绿色 - 兽穴,區域1a綠色 - 獸穴,,,,,,,エリア1 a緑 - 獣の巣窟,,,
